X,                                          T,                                              var_rho,
3.570356965065002441e-02 9.791936278343200684e-01 9.193366765975952148e-01
3.580357879400253296e-02 9.791345000267028809e-01 9.191146492958068848e-01
3.590359166264533997e-02 9.790753126144409180e-01 9.188924431800842285e-01
3.600360080599784851e-02 9.790160655975341797e-01 9.186700582504272461e-01
3.610360994935035706e-02 9.789567589759826660e-01 9.184474349021911621e-01
3.620361909270286560e-02 9.788975715637207031e-01 9.182253479957580566e-01
3.630363196134567261e-02 9.788383841514587402e-01 9.180033206939697266e-01
3.640364110469818115e-02 9.787791371345520020e-01 9.177810549736022949e-01
3.650365024805068970e-02 9.787198901176452637e-01 9.175588488578796387e-01
3.660365939140319824e-02 9.786605834960937500e-01 9.173364639282226562e-01
3.670366853475570679e-02 9.786012768745422363e-01 9.171141386032104492e-01
3.680368140339851379e-02 9.785421490669250488e-01 9.168925285339355469e-01
3.690369054675102234e-02 9.784828424453735352e-01 9.166702628135681152e-01
3.700369969010353088e-02 9.784235358238220215e-01 9.164480566978454590e-01
3.710370883345603943e-02 9.783642888069152832e-01 9.162260890007019043e-01
3.720372170209884644e-02 9.783049821853637695e-01 9.160039424896240234e-01
3.730373084545135498e-02 9.782455563545227051e-01 9.157813787460327148e-01
3.740373998880386353e-02 9.781864285469055176e-01 9.155600070953369141e-01
3.750374913215637207e-02 9.781270623207092285e-01 9.153377413749694824e-01
3.760376200079917908e-02 9.780678153038024902e-01 9.151160120964050293e-01
3.770377114415168762e-02 9.780084490776062012e-01 9.148938655853271484e-01
3.780378028750419617e-02 9.779490828514099121e-01 9.146717190742492676e-01
3.790378943085670471e-02 9.778897762298583984e-01 9.144498705863952637e-01
3.800379857420921326e-02 9.778303503990173340e-01 9.142276048660278320e-01
3.810381144285202026e-02 9.777711033821105957e-01 9.140060544013977051e-01
3.820382058620452881e-02 9.777117371559143066e-01 9.137840867042541504e-01
3.830382972955703735e-02 9.776524901390075684e-01 9.135626554489135742e-01
3.840383887290954590e-02 9.775930047035217285e-01 9.133403301239013672e-01
